ID,종류,이름,지정자,수량,가격,비고
1,캐패시터,10u,"C1,C2",2,\40,입력 전원 안정화
2,캐패시터,47u,C3,1,\30,LDO 레귤레이터-출력 전원 안정화
3,캐패시터,0.1u,"C4,C5,C10,C11",4,\40,로우패스
4,캐패시터,100n,C6,1,\10,토양 수분 센서-타이머
5,캐패시터,470p,C7,1,\10,토양 수분 센서-타이머
6,캐패시터,10n,C8,1,\10,토양 수분 센서-타이머
7,캐패시터,1u,"C9,C12",2,\30,토양 수분 센서-Peak Dectector
8,다이오드,1N4148,D1,1,\10,토양 수분 센서-Peak Dectector
9,저항,100K,R1,1,\10,LDO 레귤레이터-Enable
10,저항,1K,R2,1,\10,토양 전도도 센서-전압 분배 저항
11,저항,330,R3,1,\10,토양 수분 센서-타이머
12,저항,2.4K,R4,1,\10,토양 수분 센서-타이머
13,저항,4.7K,R5,1,\10,토양 수분 센서-타이머
14,저항,10K,"R6,R7,R9,R10,R11,R12,R13",7,\70,"R6: 토양수분센서-RC Filter
R7: 토양수분센서-Reset 풀다운 저항
R9: 토양온도센서-전압 분배 저항
R10: I2C ADC 주소 설정
R11: I2C ADC 비교기 설정
R12,R13: I2C ADC 풀업 저항"
15,저항,1M,R8,1,\10,토양 수분 센서-Peak Dectector
16,센서,GY-302,S1,1,\653,광도 센서
17,센서,AHT20,S2,1,"1,200",온/습도 센서
18,센서,NTC-100KGJG,S3,1,\81,토양 온도 센서
19,MCU,ESP32-CAM,U1,1,"9,000",MCU + CAM
20,레귤레이터,AP2112K-3.3,U2,1,\264,3.3V LDO 레귤레이터
21,타이머IC,TLC555CP,U3,1,\188,토양 수분 센서-주파수 생성
22,ADC,ADS1015,U4,1,\400,토양 센서 통합 통신
23,PCB,PCB,-,1,"\1,880",메인 보드 (5개 생산 기준)
24,기구,18650 1구 홀더,-,1,\350,배터리 지지
25,전원,"18650 3,500mAh",-,1,"\4,500",전원공급
,,,,총 가격,"\18,826",
